x,y
-0.202425,0.378605
-0.192555,0.259888
0.151563,0.371013
0,0
0.223373,0
0.262994,-0.156532
0.538611,0
0.385302,0.313064
0.944976,0
0.73065,0
0.423348,0
0.736164,0
0.68834,0.104355
0.387076,-0.132006
0,0.111897
0,0
0,0
-0.292978,0
-0.721371,0
-0.503314,0
-0.449297,0
-0.787568,0.154008
-0.502087,0
-0.462953,0
-0.814349,0
-0.656988,0.318577
-0.46291,0.406398
-0.208789,0.443462
-0.309153,0.149196
0,0.0852575
0,0
0.182448,0
0.171121,0
0.458625,0.151563
0.795137,0.381881
0.430608,0
0.687587,0
0.858083,0
0.504032,0
0.869079,0
0.0845048,0
0,0
0,0
-0.141109,0
-0.434807,0
-0.387937,0.250039
-1.14728,0
-0.760313,0
-1.43627,-0.00413032
-0.818073,0
-0.939057,0.243775
-0.979803,-0.0486034
-0.310121,0.184625
-0.388865,0.012674
-0.151559,0.110279
-0.266526,0.204439
-0.187838,0
0.16322,-0.132006
0.130203,0
1.00554,0
0.811553,0
0.781367,0
1.03048,0
0.666143,0
0.549946,0
0.392719,0
0.0682072,0
0,0
0.148812,0
0,0
-0.301135,0
-0.382425,0
-0.621691,0.110181
-0.537697,0
-0.844424,0
-1.08311,0
-1.20823,0.00658118
-0.349301,0
-0.465621,0.114588
-0.484357,0.162756
-0.387151,0.335149
-0.0843796,0.190317
0,0
0,0
0.282188,0.142335
0.275081,0
0.728676,0
0.70906,0.154015
0.960182,0
0.869187,0
0.646156,0.167514
0.399816,0
0.151888,0
0.354185,0
0,0
-0.146904,0.117399
0,-0.113675
-0.118369,-0.184258
-0.284009,-0.293732
-0.795485,0.131709
-0.700123,0
-0.937923,0
-1.13245,0
-0.836187,0.245529
-0.507899,0.164627
-0.865235,0
-0.464535,0.0845048
-0.0730794,0.186108
0,0
0,0.256771
0,0
0.204391,0
0.535769,0.113677
0.640772,0
0.692904,0.216185
0.519344,0
0.821467,-0.146904
0.729314,0
0.439503,0
0.146147,-0.127879
0,0
0,0
0,0
-0.319886,0
-0.294054,0
-0.419187,0
-0.607155,0.179035
-0.80272,0
-0.734175,0
-0.585885,0
-0.880789,0
-0.365913,0.164922
-0.762636,0.180444
-0.337473,0.120103
-0.281818,0.132621
0,0
0,0
0.152776,0
0.161837,0
0.914918,0
0.881137,0
0.880333,0
0.802596,0
0.7536,0
0.63589,-0.15914
0.106093,0
0.148979,0
0,0
0.127319,0
0.101046,0
-0.200078,0
-0.478983,0
-0.669063,0
-0.405937,0
-0.861966,0.129911
-1.00964,0
-0.586899,0
-0.434743,0.018991
-0.54766,0.132621
-0.519046,0.245811
-0.703328,0.117879
-0.145779,-0.122157
0,0
0,0.155259
0,0
0.257689,0
0.375732,0
0.833696,0
0.402887,0.101406
0.437956,0
0.76998,0
0.930509,0
0.0670101,0
0.204853,0
-0.161837,0
0,0
0,0.151563
-0.492895,-0.146147
-0.734469,0
-1.02279,0
-0.492519,-0.546408
-0.910324,0
-0.76732,0
