x,y
0.863553,-2.51313
0,-2.67102
0,-2.4561
-0.830964,-1.8643
-0.873611,-1.53141
-1.90987,-0.437705
-2.14816,0.124334
-2.37047,0.23897
-2.32355,1.26605
-2.52558,1.63901
-1.66035,2.22013
-2.0653,2.49161
-1.48152,2.61927
-0.906327,2.86487
-0.181306,2.66894
-0.365635,2.38421
0.34622,2.26526
1.06677,2.00929
1.74588,1.16816
1.92432,0
2.19545,0
2.31677,-0.639296
2.21746,-0.945692
2.09394,-2.19227
1.77983,-1.93147
0.690574,-2.53176
0.607104,-2.90813
0.346292,-3.12288
0.0786998,-2.67477
0,-2.34856
-0.663662,-1.76209
-1.1269,-1.44456
-1.89181,-0.928925
-2.17057,0.180154
-2.65641,0.406818
-2.54531,1.22495
-2.6174,1.93967
-2.70928,2.5687
-2.38142,2.59598
-1.45454,2.90446
-1.03617,3.32102
-0.245529,2.82355
-0.0460336,2.52348
0.450577,2.21709
0.876413,1.80268
1.24482,0.633729
1.79753,0
2.25077,0
2.07363,-0.127963
1.57492,-0.66991
2.15852,-1.70221
1.85827,-1.55502
0.483182,-2.59884
0.867279,-2.57302
0,-2.67437
0,-2.70772
-0.653262,-2.12599
-0.97115,-2.07995
-1.28393,-1.32773
-1.5787,-0.506416
-2.25721,0
-2.40411,0.615398
-2.44588,1.17333
-2.39171,1.82347
-2.46043,2.69079
-1.82675,2.9414
-1.08915,2.84349
-0.707271,3.01189
-0.695581,2.52249
0,2.4892
0.329397,2.08618
0.935224,1.56723
1.43838,0.780228
2.0347,0
1.92072,0
2.05095,-0.209209
1.85897,-1.04371
2.00034,-1.63696
1.65128,-1.78368
0.803878,-2.55594
0.688261,-2.94843
0.180778,-2.80345
0,-2.8437
-0.238638,-2.36536
-0.8956,-1.85849
-1.06729,-1.48143
-1.89999,-0.852426
-2.08872,0.0845048
-2.79762,0.44879
-2.64084,1.1777
-2.36794,2.05541
-2.77629,2.09371
-2.11296,3.11119
-1.21698,2.98253
-0.939709,2.98239
0,2.69569
-0.26574,2.40408
0.687,2.05779
1.25748,1.34676
1.43119,0.419062
2.02208,0
1.96694,0
1.93035,-0.622992
1.86061,-1.01449
2.02169,-1.51502
1.46411,-1.82265
0.852349,-2.98957
1.34535,-2.90044
0,-2.82949
0,-2.87335
-0.144865,-2.55657
-0.493022,-1.89646
-0.806123,-1.39606
-1.91537,-0.956319
-1.99742,0
-2.37295,0.686507
-2.55649,1.17412
-2.59779,2.0438
-2.52197,2.51467
-1.79351,3.22189
-1.37399,2.69401
-1.05607,2.73301
-0.0726038,2.81407
-0.21536,2.35297
0.483408,2.04251
0.849345,1.73617
1.62125,1.01192
1.71255,0.19352
1.81974,0
